## برنامج الرياضيات - المستوى الأول - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ج٢٠٢ | صخور نارية | -- | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٢٠٤ | جيولوجيا تركيبية | ج١٠١ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٢٠٦ | طبقات عامة | -- | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٢٠٨ | أحافير لافقارية دقيقة | -- | ١ | -- | ١ | ٢ | -- | ٢ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ك٢٢١ | كيمياء العناصر الممثلة | ك١٠١ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٢١٣ | رياضيات بحتة | ر١١١ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ر٢١٩ | معادلات فرقية | ر١١١ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ٢٠٢ع - ٢١٠ع | مواد ثقافية (اختيار مقرر واحد) | -- | -- | ١ | ٢ | -- | -- | ٢ | -- | -- | -- | ١٠٠ | -- | متطلبات جامعة |
| **المجموع** | | | **٥** | **٢** | | | | **١٧** | | | | | **٦٠٠** | |
| **مجموع الفصلين** | | | **١١** | **٣** | | | | **٣٤** | | | | | **١٣٠٠** | |

---

## برنامج الجيولوجيا - المستوى الثالث - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ج٣٠١ | صخور متحولة | ج٢٠٢ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٣٠٣ | بيئات ترسيب وسحنات | ج٢٠٥ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٣٠٥ | جيولوجيا المياه وشكل الأرض | ج١٠١ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٣٠٩ | جيوكيمياء | ج١٠٢ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| جف٣٠١ | جيوفيزياء عامة | -- | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٣١١ | استكشاف معدني | ج١٠٢ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ج٣١٣ | تحليل معدني | ج٢٠٩ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ج٣١٥ | إحصاء جيولوجي | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| **المجموع** | | | **٥** | **١** | | | | **١٧** | | | | | **٦٠٠** | |

---

## برنامج الجيولوجيا - المستوى الثالث - الفصل الدراسي الثاني

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ج٣٠٢ | جيولوجيا حقلية ومساحة | ج٢٠٤ | ١ | -- | ١ | ٢ | ١ | ٢ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٣٠٤ | أحافير فقارية | ج١٠١ | ١ | -- | ١ | ٢ | -- | ٢ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٣٠٦ | جيولوجيا المناجم والمحاجر | ج١٠٢ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ج٣٠٨ | الجيولوجيا الإقتصادية | ج١٠٢ | ١ | -- | ١ | ٢ | -- | ٢ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٣١٠ | الجيولوجيا تحت السطحية | ج٢٠٥ | ١ | -- | ١ | ٢ | -- | ٢ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٣١٢ | جيولوجيا البترول | ج٢٠٥ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| جف٣٠٢ | مقدمة في تسجيلات الآبار | -- | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٣١٤ | جيولوجيا هندسية | ج١٠١ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ج٣١٦ | جيولوجيا بحرية | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| **المجموع** | | | **٧** | **١** | | | | **١٧** | | | | | **٨٠٠** | |
| **مجموع الفصلين** | | | **١٢** | **٢** | | | | **٣٤** | | | | | **١٤٠٠** | |

---

## برنامج الجيولوجيا - المستوى الرابع - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ج٤٠١ | جيولوجيا المياه وشكل الأرض في مصر | ج٢٠٤ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٤٠٣ | جيولوجيا الدلتا | ج٢٠٥ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ج٤٠٥ | أحافير نباتية وحبوب اللقاح القديمة | ج٢٠٨ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٤٠٧ | صخور القاعدة في مصر | ج٢٠٧ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٤٠٩ | جيولوجيا الطبقات في مصر | ج٢٠٦ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٤١١ | جيولوجيا بيئية وجيولوجيا الآثار | ج١٠١ | -- | ١ | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | اختيار مقرر واحد |
| ج٤١٣ | إستشعار عن بعد ونظم معلومات جغرافية | ج١٠١ | -- | ١ | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | اختيار مقرر واحد |
| **المجموع** | | | **٥** | **١** | | | | **١٧** | | | | | **٦٠٠** | |

---

## برنامج الجيولوجيا - المستوى الرابع - الفصل الدراسي الثاني

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ج٤٠٠ | مشروع بحث ومقال | -- | ١ | -- | ٢ | -- | -- | ٢ | -- | ٢٠ | ٢٠ | ٦٠ | ١٠٠ | |
| ج٤٠٢ | جيولوجيا اشعاعية | ج٣٠٦ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ج٤٠٤ | تدريبات جيولوجية حقلية | -- | ١ | -- | -- | ٤ | ٢ | ٢ | ٦٠ | -- | ٤٠ | -- | ١٠٠ | |
| ج٤٠٦ | الأحواض الرسوبية | ج٢٠٤ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٤٠٨ | جيوتكتونية وتكتونية مصر | ج٢٠٤ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٤١٠ | جيولوجيا البترول في مصر | ج٢٠٦ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٤١٢ | بيئة قديمة ومناخ قديم | ج٢٠١ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ج٤١٤ | جيوكيمياء البترول | ج٣١٤ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| **المجموع** | | | **٦** | **١** | | | | **١٧** | | | | | **٧٠٠** | |
| **مجموع الفصلين** | | | **١١** | **٢** | | | | **٣٤** | | | | | **١٣٠٠** | |

---

## برنامج الكيمياء - المستوى الأول - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ر ١١١ | تفاضل و تكامل (١) | -- | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف ١٠١ | خواص المادة والحرارة | -- | ١ | -- | ٢ | ٢ | ١ | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ك ١٠١ | كيمياء عامة (١) | -- | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ك ١٠٢ | كيمياء عامة (٢) | -- | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ح١١١ | حيوان عام | -- | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ع ١٠١ | حقوق الإنسان ومكافحة الفساد | -- | ١ | -- | ٢ | -- | -- | ٢ | -- | -- | -- | ١٠٠ | -- | متطلبات جامعة |
| **المجموع** | | | **٦** | | | | | **١٧** | | | | | **٥٠٠** | |

---

## برنامج الكيمياء - المستوى الأول - الفصل الدراسي الثاني

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ر ١١٢ | جبر وهندسة | -- | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف ١٠٢ | كهربية ومغناطيسية و ضوء | -- | ١ | -- | ٢ | ٢ | ١ | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ك ١٢١ | مدخل الي الكيمياء غير العضوية | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ١٣١ | أسس الكيمياء العضوية (١) | -- | ١ | -- | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ن ١٠٢ | تنوع أحيائي وأساسيات فسيولوجيا النبات | -- | ١ | -- | ٢ | ٢ | ١ | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج ١٠٢ | بلورات ومعادن | -- | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ع ١٠٢ | مقدمة في علم الحاسب | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | متطلبات جامعة |
| **المجموع** | | | **٧** | | | | | **١٨** | | | | | **٧٠٠** | |
| **مجموع الفصلين** | | | **١٣** | | | | | **٣٥** | | | | | **١٢٠٠** | |

---

## برنامج الكيمياء - المستوى الثاني - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ك ٢١٢ | أسس الكيمياء التحليلية (٢) | ك ١٠٢ | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ٢٠ | ٦٠ | ١٠٠ | |
| ك ٢٣١ | كيمياء عضوية فيزيائية (١) | ك ١٠١ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٢٤١ | ديناميكا حرارية | ك ١٠٢ | ١ | -- | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٢٤٢ | كيمياء الكم | ك ١٠٢ | ١ | -- | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ح ٢٧٧ | أسس الكيمياء الحيوية (١) | ك ١٠١ | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ف ٢٢١ | ضوء فيزيائي | -- | -- | ١ | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| ف ح ٢١١ | مقدمة في الفيزياء الحيوية | -- | -- | -- | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| ع ٢٠١ | مصطلحات علمية باللغة الإنجليزية | -- | ١ | -- | ٢ | -- | -- | ٢ | -- | ١٠ | -- | ٩٠ | ١٠٠ | متطلبات جامعة |
| **المجموع** | | | **٦** | **١** | | | | **١٦** | | | | | **٧٠٠** | |

---

## برنامج الكيمياء - المستوى الثاني - الفصل الدراسي الثاني

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ك ٢٢١ | كيمياء العناصر الممثلة | ك ١٠١ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٢٣٠ | كيمياء عضوية عملية (١) | ك ١٠١ | ١ | -- | -- | ٦ | -- | ٢ | ٦٠ | -- | ٤٠ | -- | ١٠٠ | |
| ك ٢٣٢ | كيمياء فراغية وعضوية فيزيائية (٢) | ك ١٣١ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٢٣٣ | أطياف المركبات العضوية (١) | ك ١٣١ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٢٤٣ | النظرية الحركية للغازات-- قاعدة الصنف | ك ١٠٢ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٢٤٤ | الطيف الجزيئي | ك ١٠٢ | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ر ٢٠٧ | رياضيات حيوية | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| ر ٢١٣ | رياضيات بحتة | ر ١١١ | -- | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| ع ٢٠٢ -- ع ٢١٠ | مواد ثقافية (اختيار مقرر واحد) | -- | ١ | -- | ٢ | -- | -- | ٢ | -- | -- | -- | ١٠٠ | -- | متطلبات جامعة |
| **المجموع** | | | **٧** | **١** | | | | **١٧** | | | | | **٧٠٠** | |
| **مجموع الفصلين** | | | **١٣** | **٢** | | | | **٣٣** | | | | | **١٤٠٠** | |

---

## برنامج الكيمياء - المستوى الثالث - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ك ٣١٣ | التحليل الوزني | ك ٢١٢ | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ك ٣٢١ | كيمياء العناصر الانتقالية والمتراكبات | ك ٢٢١ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٣٣٠ | كيمياء عضوية عملية (٢) | ك ٢٣٠ | ١ | -- | -- | ٦ | -- | ٢ | ٦٠ | -- | ٤٠ | -- | ١٠٠ | |
| ك ٣٣١ | مركبات عضوية غير متجانسة الحلقة | ك ٢٣١ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٣٣٢ | تشييد عضوي وكيمياء عضوية فلزية | ك ٢٣٢ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٣٤١ | كيمياء كهربية (١) | ك ١٠٢ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٣٤٣ | كيمياء حركية | ك ١٠٢ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٣٣٣ | كيمياء عضوية تطبيقية | -- | -- | -- | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| ك ٣٣٤ | كيمياء الاصباغ والالياف | ك ١٠١ | -- | ١ | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| ك ٣٣٥ | موضوعات خاصة في الكيمياء العضوية | -- | -- | -- | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| **المجموع** | | | **٧** | **١** | | | | **١٧** | | | | | **٨٠٠** | |

---

## برنامج الكيمياء - المستوى الثالث - الفصل الدراسي الثاني

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ك ٣١٤ | الفصل الكروماتوجرافي والتحليل الكهربي | ك ٢١٢ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٣٢٢ | كيمياء العناصر الإنتقالية الداخلية والمركبات الفلزية العضوية | ك ٢٢١ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٣٢٣ | آلية التفاعلات غير العضوية-- مقدمة في الكيمياء غير العضوية الحيوية | ك ٢٢١ | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ك ٣٣٦ | كيمياء الكربوهيدرات | ك ٢٣١ | ١ | -- | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٣٣٧ | أطياف المركبات العضوية (٢) وتشييد عضوي متعدد الخطوات | ك ٢٣٣ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٣٤٤ | كيمياء السطوح وتطبيقاتها | ك ١٠٢ | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ر ٣٣٠ | إحصاء حيوي | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٣٤٥ | الديناميكا الاحصائية | -- | -- | -- | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| ك ٣٤٦ | كيمياء ضوئية -- كيمياء النانو | ك ١٠٢ | -- | ١ | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| ك ٣٤٧ | مقرر اختيارى في الكيمياء الفيزيائية | -- | -- | -- | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| **المجموع** | | | **٧** | **١** | | | | **١٨** | | | | | **٨٠٠** | |
| **مجموع الفصلين** | | | **١٤** | **٢** | | | | **٣٥** | | | | | **١٦٠٠** | |

---

## برنامج الكيمياء - المستوى الرابع - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ك ٤١١ | التركيز المسبق والتحليل الطيفي | ك ٢١٢ | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ك ٤٢١ | التماثل ومقدمة في نظرية المجموعات -- مقدمة في الكيمياء غير العضوية الحفزية | ك ٢٢١ | ١ | -- | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٤٣١ | كيمياء المنتجات الطبيعية | ك ٢٣١ | ١ | -- | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٤٣٢ | كيمياء البوليمرات | ك ٢٣١ | ١ | -- | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٤٣٣ | كيمياء البترول والبتروكيماويات | ك ١٣١ | ١ | -- | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٤٤١ | الحفز وتطبيقاته | ك ٣٤٤ | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ك ٤٤٢ | الكيمياء الفيزيائية للسوائل وللمحاليل -- الغرويات | ك ١٠٢ | ١ | -- | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٤١٢ | كيمياء البيئة وتطبيقات النانو (١) | ك ١٠٢ | -- | ١ | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| ك ٤١٤ | مقرر خاص في الكيمياء التحليلية | -- | -- | -- | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| **المجموع** | | | **٧** | **١** | | | | **١٨** | | | | | **٨٠٠** | |

---

## برنامج الكيمياء - المستوى الرابع - الفصل الدراسي الثاني

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ك ٤٠٠ | مشروع بحث ومقال | -- | ١ | -- | ٢ | -- | -- | ٢ | -- | ٢٠ | ٢٠ | ٦٠ | ١٠٠ | |
| ك ٤٢٢ | الاطياف الالكترونية والمغناطيسية | ك ٢٢١ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٤٢٣ | كيمياء غير عضوية صناعية | ك ٢٢١ | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ك ٤٣٠ | كيمياء عضوية عملية (٣) | ك ٣٣٠ | ١ | -- | -- | ٦ | -- | ٢ | ٦٠ | -- | ٤٠ | -- | ١٠٠ | |
| ك ٤٣٤ | التفاعلات حول الحلقية والكيمياء الضوئية | ك ٢٣١ | ١ | -- | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٤٣٥ | التلوث و الكيمياء الطبية | ك ٢٣١ | ١ | -- | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٤٤٣ | كيمياء الحالة الصلبة | ك ٢٤١ | -- | ١ | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| ك ٤٤٤ | كيمياء كهربية تطبيقية-- الكيمياء النووية | ك ٣٤١ | -- | -- | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| **المجموع** | | | **٦** | **١** | | | | **١٥** | | | | | **٧٠٠** | |
| **مجموع الفصلين** | | | **١٣** | **٢** | | | | **٣٣** | | | | | **١٥٠٠** | |

---

## برنامج الكيمياء الحيوية - المستوى الأول - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
